2017-11-18  23:02:28.545 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348545
2017-11-18  23:02:28.645 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348645
2017-11-18  23:02:28.645 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348645
2017-11-18  23:02:28.645 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348645
2017-11-18  23:02:28.645 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348645
2017-11-18  23:02:28.745 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348745
2017-11-18  23:02:28.745 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348745
2017-11-18  23:02:28.745 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348745
2017-11-18  23:02:28.745 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348745
2017-11-18  23:02:28.845 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348845
2017-11-18  23:02:28.845 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348845
2017-11-18  23:02:28.845 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348845
2017-11-18  23:02:28.845 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348845
2017-11-18  23:02:28.945 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017348945
2017-11-18  23:02:28.945 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017348945
2017-11-18  23:02:28.945 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017348945
2017-11-18  23:02:28.945 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017348945
2017-11-18  23:02:29.045 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017349045
2017-11-18  23:02:29.045 [main] INFO  com.example.slf4j.Service - from info main args=[], time=1511017349045
2017-11-18  23:02:29.045 [main] WARN  com.example.slf4j.Service - from warn main args=[], time=1511017349045
2017-11-18  23:02:29.045 [main] ERROR com.example.slf4j.Service - from error main args=[], time=1511017349045
2017-11-18  23:02:29.145 [main] DEBUG com.example.slf4j.Service - from debug main args=[], time=1511017349145
